"","sa","sb","n","a1","a2","a3","a4","a5","b1","b2","dsa","dsb","Freq"
"682",93,13,15001,8,9,19,27,30,6,7,0,0,1
"715",95,16,15002,3,14,20,26,32,6,10,2,3,1
"182",120,13,15003,12,19,27,28,34,1,12,25,-3,1
"450",75,11,15004,3,12,14,18,28,5,6,-45,-2,1
"473",77,15,15005,11,14,15,18,19,7,8,2,4,2
"97",109,10,15006,6,8,30,32,33,3,7,32,-5,1
"333",62,12,15007,2,7,8,14,31,4,8,-47,2,1
"323",60,13,15008,7,10,11,15,17,3,10,-2,1,1
"202",125,16,15009,17,22,26,27,33,6,10,65,3,1
"649",90,9,15010,2,6,17,30,35,2,7,-35,-7,2
"702",94,7,15011,4,13,22,25,30,1,6,4,-2,2
"292",55,14,15012,3,4,6,11,31,5,9,-39,7,1
"144",114,17,15013,11,15,25,28,35,7,10,59,3,1
"132",113,13,15014,8,16,25,29,35,3,10,-1,-4,3
"388",68,15,15015,1,5,13,17,32,4,11,-45,2,1
"552",83,20,15016,6,7,16,20,34,9,11,15,5,1
"536",82,8,15017,7,13,16,17,29,1,7,-1,-12,4
"448",75,10,15018,4,7,10,23,31,3,7,-7,2,3
"426",72,4,15019,2,8,16,22,24,1,3,-3,-6,1
"208",126,5,15020,11,26,28,29,32,1,4,54,1,1
"206",126,11,15021,22,23,24,26,31,5,6,0,6,1
"455",75,23,15022,9,11,14,15,26,11,12,-51,12,1
"324",60,14,15023,6,9,11,12,22,3,11,-15,-9,2
"377",66,7,15024,2,6,8,16,34,3,4,6,-7,1
"600",86,21,15025,7,10,20,22,27,10,11,20,14,1
"449",75,10,15026,11,13,14,15,22,2,8,-11,-11,3
"21",101,13,15027,5,21,22,25,28,3,10,26,3,1
"70",105,19,15028,3,9,28,32,33,9,10,4,6,1
"35",101,8,15029,7,10,19,30,35,3,5,-4,-11,3
"53",103,7,15030,9,18,19,26,31,2,5,2,-1,1
"191",122,16,15031,7,21,29,32,33,4,12,19,9,1
"103",109,18,15032,6,21,25,27,30,7,11,-13,2,1
"722",96,10,15033,3,17,22,26,28,3,7,-13,-8,2
"407",71,14,15034,4,8,15,18,26,5,9,-25,4,2
"235",140,11,15035,22,24,29,30,35,1,10,69,-3,1
"771",99,12,15036,14,18,20,23,24,4,8,-41,1,1
"75",106,15,15037,10,16,21,28,31,7,8,7,3,1
"175",119,15,15038,12,19,22,31,35,7,8,13,0,1
"305",57,7,15039,3,6,7,16,25,1,6,-62,-8,1
"501",79,21,15040,2,9,10,23,35,9,12,22,14,1
"561",84,11,15041,1,11,21,23,28,1,10,5,-10,2
"344",63,13,15042,3,7,12,17,24,2,11,-21,2,3
"768",98,9,15043,2,20,22,25,29,2,7,35,-4,2
"205",125,4,15044,16,18,27,31,33,1,3,27,-5,2
"764",98,20,15045,8,9,22,29,30,8,12,-27,16,2
"401",70,14,15046,5,7,10,22,26,4,10,-28,-6,1
"442",74,17,15047,1,2,17,23,31,5,12,4,3,2
"2",100,11,15048,10,11,22,24,33,2,9,26,-6,2
"363",65,18,15049,8,9,11,15,22,8,10,-35,7,2
"418",71,9,15050,6,7,10,20,28,2,7,6,-9,1
"278",51,6,15051,1,2,11,16,21,1,5,-20,-3,1
"124",112,15,15052,13,19,24,27,29,7,8,61,9,1
"189",122,11,15053,8,25,28,29,32,4,7,10,-4,1
"563",84,12,15054,2,9,15,24,34,3,9,-38,1,3
"522",81,15,15055,6,11,14,20,30,5,10,-3,3,2
"759",98,13,15056,6,12,19,26,35,3,10,17,-2,3
"282",53,10,15057,1,5,7,14,26,4,6,-45,-3,2
"31",101,19,15058,10,14,20,27,30,7,12,48,9,3
"646",90,4,15059,7,9,19,23,32,1,3,-11,-15,1
"198",124,15,15060,16,24,25,26,33,4,11,34,11,1
"313",59,12,15061,6,7,8,16,22,2,10,-65,-3,1
"295",55,5,15062,6,7,13,14,15,1,4,-4,-7,1
"513",80,6,15063,1,4,6,34,35,2,4,25,1,1
"634",89,17,15064,2,8,20,28,31,7,10,9,11,3
"356",64,19,15065,4,5,7,13,35,8,11,-25,2,1
"283",53,12,15066,1,3,7,13,29,2,10,-11,-7,2
"547",83,15,15067,4,10,18,24,27,4,11,30,3,4
"651",91,12,15068,2,3,20,31,35,4,8,8,-3,3
"398",69,8,15069,2,9,11,22,25,1,7,-22,-4,1
"314",59,16,15070,3,9,12,17,18,4,12,-10,8,1
"429",73,14,15071,4,6,13,16,34,4,10,14,-2,1
"199",124,19,15072,19,20,21,31,33,9,10,51,5,1
"209",126,7,15073,9,26,27,30,34,1,6,2,-12,1
"689",94,13,15074,1,12,21,27,33,4,9,-32,6,2
"138",113,22,15075,13,14,26,27,33,10,12,19,9,1
"93",108,17,15076,3,19,21,31,34,5,12,-5,-5,1
"560",84,11,15077,1,16,17,22,28,2,9,-24,-6,2
"218",130,3,15078,19,24,26,28,33,1,2,46,-8,1
"446",74,9,15079,1,9,17,23,24,4,5,-56,6,1
"201",125,11,15080,14,20,29,30,32,3,8,51,2,1
"262",47,14,15081,3,4,10,13,17,5,9,-78,3,1
"150",115,9,15082,8,15,28,31,33,3,6,68,-5,2
"52",103,22,15083,14,16,19,25,29,10,12,-12,13,1
"159",117,13,15084,10,20,21,32,34,6,7,14,-9,2
"244",31,15,15085,2,3,4,6,16,3,12,-86,2,1
"420",72,13,15086,5,9,11,15,32,4,9,41,-2,2
"329",61,12,15087,2,5,15,17,22,1,11,-11,-1,1
"139",113,23,15088,5,15,28,31,34,11,12,52,11,1
"535",82,22,15089,5,12,18,20,27,10,12,-31,-1,2
"352",64,14,15090,6,9,11,17,21,6,8,-18,-8,1
"721",96,10,15091,2,7,28,29,30,3,7,32,-4,2
"757",98,13,15092,2,14,21,27,34,5,8,2,3,3
"119",111,6,15093,16,17,25,26,27,2,4,13,-7,2
"290",55,10,15094,2,3,10,11,29,3,7,-56,4,1
"163",117,15,15095,8,14,26,34,35,5,10,62,5,2
"349",63,8,15096,3,9,12,18,21,2,6,-54,-7,1
"647",90,5,15097,4,16,17,26,27,1,4,27,-3,2
"59",104,15,15098,9,14,21,27,33,6,9,14,10,2
"529",82,15,15099,9,12,14,22,25,5,10,-22,0,1
"742",97,12,15100,9,15,18,23,32,5,7,15,-3,2
"588",85,19,15101,6,12,17,18,32,7,12,-12,7,3
"83",107,15,15102,11,14,15,33,34,3,12,22,-4,1
"642",90,14,15103,7,9,15,25,34,4,10,-17,-1,2
"197",124,13,15104,16,19,25,30,34,4,9,34,-1,1
"509",80,14,15105,8,9,15,21,27,5,9,-44,1,1
"490",78,5,15106,2,11,13,22,30,2,3,-2,-9,1
"91",108,13,15107,3,23,25,28,29,6,7,30,8,2
"610",87,19,15108,1,13,16,26,31,7,12,-21,6,1
"409",71,15,15109,1,6,11,22,31,3,12,-16,-4,2
"413",71,18,15110,2,7,10,22,30,7,11,0,3,3
"545",83,13,15111,7,8,16,24,28,3,10,12,-5,2
"408",71,15,15112,4,5,15,19,28,4,11,-12,2,2
"756",98,12,15113,1,14,21,29,33,2,10,27,-3,1
"152",116,12,15114,9,18,24,31,34,2,10,18,0,2
"342",63,12,15115,8,12,13,14,16,3,9,-53,0,2
"676",93,10,15116,7,10,19,24,33,3,7,30,-2,3
"78",106,21,15117,6,17,20,30,33,10,11,13,11,1
"577",85,13,15118,3,7,20,24,31,4,9,-21,-8,4
"310",58,17,15119,1,8,12,16,21,6,11,-27,4,1
"521",81,15,15120,1,9,15,24,32,5,10,23,-2,2
"480",78,10,15121,2,4,17,27,28,4,6,-3,-5,1
"12",100,17,15122,11,13,15,26,35,6,11,22,7,3
"66",105,12,15123,4,15,27,29,30,2,10,5,-5,2
"592",85,9,15124,4,6,12,31,32,3,6,-20,-3,1
"364",65,18,15125,2,3,15,17,28,8,10,-20,9,2
"265",47,9,15126,4,5,8,9,21,3,6,-18,-9,1
"542",83,11,15127,9,11,14,19,30,3,8,36,2,2
"89",107,7,15128,10,12,23,30,32,3,4,24,-4,1
"564",84,12,15129,1,6,23,25,29,3,9,-23,5,3
"234",139,14,15130,17,25,31,32,34,2,12,55,2,1
"701",94,5,15131,11,17,19,20,27,2,3,-45,-9,2
"402",70,6,15132,3,8,14,18,27,1,5,-24,1,1
"428",73,12,15133,3,7,8,25,30,4,8,3,6,2
"312",59,11,15134,1,2,6,15,35,4,7,-14,-1,1
"711",95,14,15135,5,16,20,25,29,6,8,36,3,2
"99",109,12,15136,5,20,23,29,32,2,10,14,-2,1
"30",101,19,15137,14,17,21,23,26,8,11,-8,7,3
"754",98,11,15138,1,16,20,29,32,4,7,-3,-8,3
"381",67,12,15139,2,3,5,25,32,5,7,-31,1,4
"621",88,17,15140,1,11,15,26,35,6,11,21,5,2
"417",71,5,15141,2,4,15,19,31,2,3,-17,-12,1
"64",104,9,15142,12,14,22,26,30,3,6,33,4,1
"213",128,21,15143,9,20,31,33,35,10,11,24,12,1
"635",89,17,15144,1,9,24,26,29,6,11,-39,-4,3
"699",94,23,15145,6,7,20,29,32,11,12,5,6,1
"726",96,15,15146,4,15,19,27,31,4,11,2,-8,1
"287",53,18,15147,1,2,13,18,19,8,10,-43,3,1
"111",110,17,15148,8,11,27,31,33,8,9,57,-1,2
"321",60,10,15149,4,6,10,12,28,2,8,-50,-7,2
"675",93,10,15150,4,13,18,25,33,3,7,33,0,3
"147",114,8,15151,15,16,18,30,35,1,7,21,-2,1
"708",95,13,15152,4,5,22,29,35,2,11,-19,5,5
"641",90,13,15153,1,7,22,27,33,2,11,-5,0,2
"474",77,15,16001,1,7,19,20,30,5,10,-13,2,2
"746",97,16,16002,7,12,18,25,35,7,9,20,1,2
